variable,dta_variable_label,question_text,codebook_page,question_text_filled
abany,abortion if woman wants for any reason,,,abortion if woman wants for any reason
abanyg,abortion if woman wants for any reason (grid on web),,,abortion if woman wants for any reason (grid on web)
abdefect,strong chance of serious defect,,,strong chance of serious defect
abdefectg,strong chance of serious defect (grid on web),,,strong chance of serious defect (grid on web)
abhlth,woman's health seriously endangered,,,woman's health seriously endangered
abhlthg,woman's health seriously endangered (grid on web),,,woman's health seriously endangered (grid on web)
abnomore,married--wants no more children,,,married--wants no more children
abnomoreg,married--wants no more children (grid on web),,,married--wants no more children (grid on web)
abpoor,low income--cant afford more children,,,low income--cant afford more children
abpoorg,low income--cant afford more children (grid on web),,,low income--cant afford more children (grid on web)
abrape,pregnant as result of rape,,,pregnant as result of rape
abrapeg,pregnant as result of rape (grid on web),,,pregnant as result of rape (grid on web)
absingle,not married,,,not married
absingleg,not married (grid on web),,,not married (grid on web)
acpttg,accepting people,,,accepting people
adcoumed,would r have child on med by counselor's advice,,,would r have child on med by counselor's advice
addoc,would go to a medical doctor if he was r's child,,,would go to a medical doctor if he was r's child
adfam,would r get advice from family if child was r's,,,would r get advice from family if child was r's
adoptus,immigrants living in us should adopt us culture,,,immigrants living in us should adopt us culture
adpsy,would r go to a psychiatrist if child was r's,,,would r go to a psychiatrist if child was r's
adtch,would r get advice from teachers child if was r's,,,would r get advice from teachers child if was r's
adults,household members 18 yrs and older (household roster),,,household members 18 yrs and older (household roster)
adults_exp,adults 18+ in hh(experimental version),,,adults 18+ in hh(experimental version)
adultsinhh,total adults in hh (household composition version),,,total adults in hh (household composition version)
affrmact,favor preference in hiring black people,,,favor preference in hiring black people
afraidof,people act as if they are afraid of r,,,people act as if they are afraid of r
age,age of respondent,,,age of respondent
agekdbrn,r's age when 1st child born,,,r's age when 1st child born
agetech,are older or younger people benefiting more from digital tech,,,are older or younger people benefiting more from digital tech
aidrive,r's comfort with driverless car,,,r's comfort with driverless car
aimed,r's comfort with medical operation by robot,,,r's comfort with medical operation by robot
aiworry,r worried that ai will take over many jobs done by humans,,,r worried that ai will take over many jobs done by humans
allergic,situation caused by food or chemical allergies,,,situation caused by food or chemical allergies
amancstr,how important to have american ancestry,,,how important to have american ancestry
ambetter,agree america is a better country,,,agree america is a better country
ambornin,how important to have been born in america,,,how important to have been born in america
amchrstn,how important to be a christian,,,how important to be a christian
amcit,how important to have american citizenship,,,how important to have american citizenship
amcitizn,agree i would rather be a citizen of america,,,agree i would rather be a citizen of america
amfeel,how important to feel american,,,how important to feel american
amgovt,how important to respect america's laws etc,,,how important to respect america's laws etc
amownway,america should follow its own interests,,,america should follow its own interests
amshamed,agree there are things make me ashamed,,,agree there are things make me ashamed
amtv,tv should give preference to american films,,,tv should give preference to american films
attend,how often r attends religious services,,,how often r attends religious services
babies,household members less than 6 yrs old,,,household members less than 6 yrs old
babies_exp,kids 0-6 in hh(experimental version),,,kids 0-6 in hh(experimental version)
badchar,situation caused by own bad character,,,situation caused by own bad character
ballot,ballot used for interview,,,ballot used for interview
befair,how often do you think people take advantage,,,how often do you think people take advantage
belikeus,agree better if people were more like americans,,,agree better if people were more like americans
biasnews,news coverage about politics in america is biased,,,news coverage about politics in america is biased
bible,feelings about the bible,,,feelings about the bible
biblenv,feelings about the bible (no volunteered response on web),,,feelings about the bible (no volunteered response on web)
biblev,feelings about the bible (with volunteered response on web),,,feelings about the bible (with volunteered response on web)
bizmoney,business leaders make money at expense of ordinary people,,,business leaders make money at expense of ordinary people
born,was r born in this country,,,was r born in this country
breakdwn,how likely x is experiencing nervous breakdown,,,how likely x is experiencing nervous breakdown
brneffrt,possible to become american if born elsewhere,,,possible to become american if born elsewhere
broadband,household has access to internet using broadband internet service,,,household has access to internet using broadband internet service
bullied,situation caused by having been bullied,,,situation caused by having been bullied
bullpeer,would x bully peers,,,would x bully peers
cantrust,people can be trusted or cant be too careful,,,people can be trusted or cant be too careful
cappun,favor or oppose death penalty for murder,,,favor or oppose death penalty for murder
cctv,civil liberties - video surveillance,,,civil liberties - video surveillance
charactr,how likely x s situation caused by bad character,,,how likely x s situation caused by bad character
chembal,situation by a chemical imbalance in the brain,,,situation by a chemical imbalance in the brain
childs,number of children,,,number of children
childs_exp,total children under 18 in hh (experimental verison),,,total children under 18 in hh (experimental verison)
childsinhh,total children in hh (household composition version),,,total children in hh (household composition version)
chldadlt_asn,"percent of adults you knew (friends, care takers, neighbors) during childhood wh",,,"percent of adults you knew (friends, care takers, neighbors) during childhood wh"
chldadlt_blk,"percent of adults you knew (friends, care takers, neighbors) during childhood wh",,,"percent of adults you knew (friends, care takers, neighbors) during childhood wh"
chldadlt_hisp,"percent of adults you knew (friends, care takers, neighbors) during childhood wh",,,"percent of adults you knew (friends, care takers, neighbors) during childhood wh"
chldadlt_oth,"percent of adults you knew (friends, care takers, neighbors) during childhood wh",,,"percent of adults you knew (friends, care takers, neighbors) during childhood wh"
chldadlt_wht,"percent of adults you knew (friends, care takers, neighbors) during childhood wh",,,"percent of adults you knew (friends, care takers, neighbors) during childhood wh"
chldchld_asn,"percent of children you knew (friends, classmates) during childhood who were asi",,,"percent of children you knew (friends, classmates) during childhood who were asi"
chldchld_blk,"percent of children you knew (friends, classmates) during childhood who were bla",,,"percent of children you knew (friends, classmates) during childhood who were bla"
chldchld_hisp,"percent of children you knew (friends, classmates) during childhood who were lat",,,"percent of children you knew (friends, classmates) during childhood who were lat"
chldchld_oth,"percent of children you knew (friends, classmates) during childhood who were som",,,"percent of children you knew (friends, classmates) during childhood who were som"
chldchld_wht,"percent of children you knew (friends, classmates) during childhood who were whi",,,"percent of children you knew (friends, classmates) during childhood who were whi"
chldfam_asn,percent of family during childhood who were asian,,,percent of family during childhood who were asian
chldfam_blk,percent of family during childhood who were black,,,percent of family during childhood who were black
chldfam_hisp,percent of family during childhood who were latino,,,percent of family during childhood who were latino
chldfam_oth,percent of family during childhood who were some other race,,,percent of family during childhood who were some other race
chldfam_wht,percent of family during childhood who were white,,,percent of family during childhood who were white
chldfrnd,how willing r have children make friends with ch,,,how willing r have children make friends with ch
chldidel,ideal number of children,,,ideal number of children
chldprob,how serious r consider his or her problem,,,how serious r consider his or her problem
chldsch,how willing r have child in same class of r's ch,,,how willing r have child in same class of r's ch
chldshop_asn,percent of people who shopped at the supermarket during childhood who were asian,,,percent of people who shopped at the supermarket during childhood who were asian
chldshop_blk,percent of people who shopped at the supermarket during childhood who were black,,,percent of people who shopped at the supermarket during childhood who were black
chldshop_hisp,percent of people who shopped at the supermarket during childhood who were latin,,,percent of people who shopped at the supermarket during childhood who were latin
chldshop_oth,percent of people who shopped at the supermarket during childhood who were some,,,percent of people who shopped at the supermarket during childhood who were some
chldshop_wht,percent of people who shopped at the supermarket during childhood who were white,,,percent of people who shopped at the supermarket during childhood who were white
chldvig,vignette asked,,,vignette asked
chngdocs,changing official documents,,,changing official documents
citizen,are you a citizen of america?,,,are you a citizen of america?
class,subjective class identification,,,subjective class identification
classtech,are poor or rich benefiting more from digital tech,,,are poor or rich benefiting more from digital tech
codeg,partner's highest degree,,,partner's highest degree
coden,partner's denomination,,,partner's denomination
coeduc,"highest year school completed, partner",,,"highest year school completed, partner"
coevwork,partner ever work as long as a year,,,partner ever work as long as a year
cofund,how fundamentalist is partner's current religion,,,how fundamentalist is partner's current religion
cohort,year of birth,,,year of birth
cohrs1,number of hours partner worked last week,,,number of hours partner worked last week
cohrs2,no. of hours partner usually works a week,,,no. of hours partner usually works a week
coind10,partner's industry code (2010),,,partner's industry code (2010)
colath,allow anti-religionist to teach,,,allow anti-religionist to teach
colcom,should communist teacher be fired,,,should communist teacher be fired
colcomy,should communist teacher be fired y,,,should communist teacher be fired y
colmslm,allow anti-american muslim clergymen teaching in college,,,allow anti-american muslim clergymen teaching in college
colrac,allow racist to teach,,,allow racist to teach
compuse,r use computer,,,r use computer
conarmy,confidence in military,,,confidence in military
conbus,confidence in major companies,,,confidence in major companies
conclerg,confidence in organized religion,,,confidence in organized religion
coneduc,confidence in education,,,confidence in education
confed,confid. in exec branch of fed govt,,,confid. in exec branch of fed govt
confinan,confid in banks & financial institutions,,,confid in banks & financial institutions
coninc,family income in constant dollars,,,family income in constant dollars
conjudge,confid. in united states supreme court,,,confid. in united states supreme court
conlabor,confidence in organized labor,,,confidence in organized labor
conlabory,confidence in labor unions,,,confidence in labor unions
conlegis,confidence in congress,,,confidence in congress
conmedic,confidence in medicine,,,confidence in medicine
conorelgsp,partner no religion,,,partner no religion
conpow,conflict between ordinary people and those in power,,,conflict between ordinary people and those in power
conpress,confidence in press,,,confidence in press
conrinc,respondent income in constant dollars,,,respondent income in constant dollars
consci,confidence in scientific community,,,confidence in scientific community
conscrp,importance of military service,,,importance of military service
contv,confidence in television,,,confidence in television
coocc10,partner's census occupation code (2010),,,partner's census occupation code (2010)
copres10,partner's occupational prestige score (2010),,,partner's occupational prestige score (2010)
copres105plus,partner's occupational prestige score using threshold method (2010),,,partner's occupational prestige score using threshold method (2010)
corel,partner's religious preference,,,partner's religious preference
corruptn,how widespread corruption is in pub service in america,,,how widespread corruption is in pub service in america
cosei10,partner's socioeconomic index (2010),,,partner's socioeconomic index (2010)
cosei10educ,percentage of some college educ in coocc10 based on acs 2010,,,percentage of some college educ in coocc10 based on acs 2010
cosei10inc,percentage of $45k+ earners in coocc10 based on acs 2010,,,percentage of $45k+ earners in coocc10 based on acs 2010
courts,courts dealing with criminals,,,courts dealing with criminals
courtsnv,courts dealing with criminals (no volunteered response on web),,,courts dealing with criminals (no volunteered response on web)
courtsv,courts dealing with criminals (with volunteered response on web),,,courts dealing with criminals (with volunteered response on web)
